timestamp,threat_level,label,score,person_count,moving_count,occluded_count,fast_radar_targets,audio_energy,voice_detected,contributing_factors
2026-04-02 15:02:35.827662,3,MODERATE,0.55,1,1,1,0,0.4,0,person_detected|person_moving|occlusion_detected
2026-04-02 15:02:35.927829,3,MODERATE,0.55,1,1,2,0,0.4,0,person_detected|person_moving|occlusion_detected
2026-04-02 15:02:36.026686,3,MODERATE,0.55,1,1,2,0,0.4,0,person_detected|person_moving|occlusion_detected
2026-04-02 15:02:36.127312,3,MODERATE,0.55,1,1,2,0,0.4,0,person_detected|person_moving|occlusion_detected
2026-04-02 15:02:36.227190,3,MODERATE,0.55,1,1,2,0,0.4,0,person_detected|person_moving|occlusion_detected
2026-04-02 15:02:36.329374,3,MODERATE,0.55,1,1,2,0,0.4,0,person_detected|person_moving|occlusion_detected
2026-04-02 15:02:36.431349,3,MODERATE,0.55,1,1,2,0,0.4,0,person_detected|person_moving|occlusion_detected
2026-04-02 15:02:36.531357,3,MODERATE,0.55,1,1,2,0,0.4,0,person_detected|person_moving|occlusion_detected
2026-04-02 15:02:36.629482,1,CLEAR,0.15,0,0,1,0,0.4,0,occlusion_detected
2026-04-02 15:02:36.729362,1,CLEAR,0.15,0,0,1,0,0.4,0,occlusion_detected
2026-04-02 15:02:36.827521,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:36.927033,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:37.031377,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:37.136077,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:37.231685,1,CLEAR,0.15,0,0,0,4,0.4,0,fast_radar_target
2026-04-02 15:02:37.329429,1,CLEAR,0.15,0,0,0,2,0.4,0,fast_radar_target
2026-04-02 15:02:37.427668,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:37.527100,1,CLEAR,0.15,0,0,0,1,0.4,0,fast_radar_target
2026-04-02 15:02:37.631158,1,CLEAR,0.15,0,0,0,1,0.4,0,fast_radar_target
2026-04-02 15:02:37.728354,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:37.829402,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:37.928656,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:38.036213,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:38.127507,2,LOW,0.35,2,0,0,0,0.4,0,person_detected|2_people
2026-04-02 15:02:38.228013,2,LOW,0.35,2,0,0,0,0.4,0,person_detected|2_people
2026-04-02 15:02:38.340948,2,LOW,0.35,2,0,0,0,0.4,0,person_detected|2_people
2026-04-02 15:02:38.427609,2,LOW,0.35,2,0,0,0,0.4,0,person_detected|2_people
2026-04-02 15:02:38.527708,2,LOW,0.35,2,0,0,0,0.4,0,person_detected|2_people
2026-04-02 15:02:38.627919,2,LOW,0.35,2,0,0,0,0.4,0,person_detected|2_people
2026-04-02 15:02:38.728487,2,LOW,0.35,2,0,0,0,0.4,0,person_detected|2_people
2026-04-02 15:02:38.833188,3,MODERATE,0.5,2,0,0,1,0.4,0,person_detected|2_people|fast_radar_target
2026-04-02 15:02:38.926644,2,LOW,0.35,1,0,1,0,0.4,0,person_detected|occlusion_detected
2026-04-02 15:02:39.027236,3,MODERATE,0.5,1,0,1,1,0.4,0,person_detected|occlusion_detected|fast_radar_target
2026-04-02 15:02:39.128284,2,LOW,0.35,1,0,1,0,0.4,0,person_detected|occlusion_detected
2026-04-02 15:02:39.228485,2,LOW,0.35,1,0,1,0,0.4,0,person_detected|occlusion_detected
2026-04-02 15:02:39.328245,2,LOW,0.35,1,0,1,0,0.4,0,person_detected|occlusion_detected
2026-04-02 15:02:39.430797,3,MODERATE,0.5,1,0,1,1,0.4,0,person_detected|occlusion_detected|fast_radar_target
2026-04-02 15:02:39.531044,3,MODERATE,0.5,1,0,1,1,0.4,0,person_detected|occlusion_detected|fast_radar_target
2026-04-02 15:02:39.627207,2,LOW,0.35,1,0,1,0,0.4,0,person_detected|occlusion_detected
2026-04-02 15:02:39.727073,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:39.826424,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:39.934969,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:40.026746,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:40.130359,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:40.227254,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:40.330581,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:40.427566,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:40.527619,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:40.628561,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:40.729987,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:40.828260,2,LOW,0.35,1,0,0,1,0.4,0,person_detected|fast_radar_target
2026-04-02 15:02:40.927683,2,LOW,0.35,1,0,0,4,0.4,0,person_detected|fast_radar_target
2026-04-02 15:02:41.027928,2,LOW,0.35,1,0,0,2,0.4,0,person_detected|fast_radar_target
2026-04-02 15:02:41.128123,2,LOW,0.35,1,0,0,2,0.4,0,person_detected|fast_radar_target
2026-04-02 15:02:41.227538,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:41.327853,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:41.427961,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:41.541411,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:41.632279,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:41.732415,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:41.831505,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:41.930678,2,LOW,0.2,1,0,0,0,0.4,0,person_detected
2026-04-02 15:02:42.032723,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:42.127289,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:42.227946,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:42.331778,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:42.426961,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:42.529688,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:42.628812,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:42.727777,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:42.832651,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:42.931911,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:43.027200,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:43.128409,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:43.228184,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:43.327192,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:43.431571,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:43.532432,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:43.627605,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:43.728932,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:43.827542,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:43.927073,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:44.028843,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:44.127242,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:44.227509,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:44.327847,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:44.427412,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:44.531041,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:44.627478,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:44.730013,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:44.828487,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:44.931496,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:45.027628,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:45.126600,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:45.226955,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:45.327150,1,CLEAR,0.0,0,0,0,0,0.4,0,
2026-04-02 15:02:45.430220,1,CLEAR,0.0,0,0,0,0,0.4,0,
